token,frequency,possible_split,part1_frequency,part2_frequency,book,chapter,verse,context
temeste,1,tem este,638,1074,2 Samuel,1,14,E Davi lhe disse: Como não temeste tu estender a mão para matares o ungido do Senhor?
causado,2,causa do,586,10449,Ezequiel,32,23,"Os seus sepulcros foram postos no mais interior da cova, e o seu ajuntamento está em redor do seu sepulcro; todos foram traspassados, e caíram à espada os que tinham causado espanto na terra dos viventes."
temperante,1,tem perante,638,556,Tito,1,8,"mas dado à hospitalidade, amigo do bem, moderado, justo, santo, temperante,"
maldisse,1,mal disse,524,2807,1 Reis,2,8,"E eis que também contigo está Simei, filho de Gera, filho de Benjamim, de Baurim, que me maldisse com maldição atroz, no dia em que ia a Maanaim; porém ele saiu a encontrar-se comigo junto ao Jordão, e eu, pelo Senhor, lhe jurei, dizendo que o não mataria à espada."
maldizendo,1,mal dizendo,524,1351,Provérbios,20,19,"O que anda maldizendo descobre o segredo; pelo que, com o que afaga com seus lábios, não te entremetas."
portadas,1,porta das,434,1631,2 Crônicas,4,9,"Fez mais o pátio dos sacerdotes e o pátio grande, como também as portadas para o pátio, e as suas portas cobriu de cobre."
espadana,1,espada na,426,3095,Jó,8,11,"Porventura, sobe o junco sem lodo? Ou cresce a espadana sem água?"
aliarão,1,ali arão,688,354,Daniel,11,6,"Mas, ao cabo de anos, eles se aliarão; e a filha do rei do Sul virá ao rei do Norte para fazer um tratado; mas não conservará a força de seu braço; nem ele persistirá, nem o seu braço, porque ela será entregue, e os que a tiverem trazido, e seu pai, e o que a fortalecia naqueles tempos."
nomearão,1,nome arão,971,354,Jeremias,23,6,"Nos seus dias, Judá será salvo, e Israel habitará seguro; e este será o nome com que o nomearão: O Senhor, Justiça Nossa."
irarei,1,ira rei,338,2503,Isaías,54,9,"Porque isso será para mim como as águas de Noé; pois jurei que as águas de Noé não inundariam mais a terra; assim jurei que não me irarei mais contra ti, nem te repreenderei."
parareis,1,para reis,8233,333,Josué,3,8,"Tu, pois, ordenarás aos sacerdotes que levam a arca do concerto, dizendo: Quando vierdes até à borda das águas do Jordão, parareis no Jordão."
tireis,2,ti reis,1332,333,Josué,7,13,"Levanta-te, santifica o povo e dize: Santificai-vos para amanhã, porque assim diz o Senhor, o Deus de Israel: Anátema há no meio de vós, Israel; diante dos vossos inimigos não podereis suster-vos, até que tireis o anátema do meio de vós."
compôs,1,com pôs,5170,270,Eclesiastes,12,9,"E, quanto mais sábio foi o Pregador, tanto mais sabedoria ao povo ensinou; e atentou, e esquadrinhou, e compôs muitos provérbios."
detinham,2,de tinham,24404,261,Lucas,4,42,"E, sendo já dia, saiu e foi para um lugar deserto; e a multidão o procurava e chegou junto dele; e o detinham, para que não se ausentasse deles."
orareis,2,ora reis,256,333,Jeremias,29,12,"Então, me invocareis, e ireis, e orareis a mim, e eu vos ouvirei."
forçadas,1,força das,245,1631,Zacarias,14,2,"Porque eu ajuntarei todas as nações para a peleja contra Jerusalém; e a cidade será tomada, e as casas serão saqueadas, e as mulheres, forçadas; e metade da cidade sairá para o cativeiro, mas o resto do povo não será expulso da cidade."
forçado,1,força do,245,10449,2 Samuel,13,22,"Porém Absalão não falou com Amnom, nem mal nem bem; porque Absalão aborrecia a Amnom, por ter forçado a Tamar, sua irmã."
metendo,2,me tendo,2111,242,Deuteronômio,20,19,"Quando sitiares uma cidade por muitos dias, pelejando contra ela para a tomar, não destruirás o seu arvoredo, metendo nele o machado, porque dele comerás; pelo que o não cortarás (pois o arvoredo do campo é o mantimento do homem), para que sirva de tranqueira diante de ti."
comarca,2,com arca,5170,241,Lucas,2,8,"Ora, havia, naquela mesma comarca, pastores que estavam no campo e guardavam durante as vigílias da noite o seu rebanho."
devendo,2,de vendo,24404,240,Hebreus,5,12,"Porque, devendo já ser mestres pelo tempo, ainda necessitais de que se vos torne a ensinar quais sejam os primeiros rudimentos das palavras de Deus; e vos haveis feito tais que necessitais de leite e não de sólido mantimento."
nenhumas,1,nenhum as,235,5792,2 Coríntios,1,13,"Porque nenhumas outras coisas vos escrevemos, senão as que já sabeis ou também reconheceis; e espero que também até ao fim as reconhecereis,"
medito,2,me dito,2111,228,Salmos,119,99,"Tenho mais entendimento do que todos os meus mestres, porque medito nos teus testemunhos."
formar,1,for mar,226,393,1 Coríntios,3,12,"E, se alguém sobre este fundamento formar um edifício de ouro, prata, pedras preciosas, madeira, feno, palha,"
formas,2,for mas,226,2938,Ezequiel,43,11,"E, envergonhando-se eles de tudo quanto fizeram, faze-lhes saber a forma desta casa, e a sua figura, e as suas saídas, e as suas entradas, e todas as suas formas, e todos os seus estatutos, e todas as suas formas, e todas as suas leis; e escreve isto aos seus olhos, para que guardem toda a sua forma e todos os seus estatutos e os cumpram."
portal,1,por tal,4118,222,1 Samuel,21,13,"Pelo que se contrafez diante dos olhos deles, e fez-se como doido entre as suas mãos, e esgravatava nas portas do portal, e deixava correr saliva pela barba."
guardada,2,guarda da,220,7168,2 Timóteo,4,8,"Desde agora, a coroa da justiça me está guardada, a qual o Senhor, justo juiz, me dará naquele Dia; e não somente a mim, mas também a todos os que amarem a sua vinda."
guardadas,1,guarda das,220,1631,Jeremias,35,14,"As palavras de Jonadabe, filho de Recabe, que ordenou a seus filhos que não bebessem vinho, foram guardadas, pois não beberam até este dia; antes, ouviram o mandamento de seu pai; a mim, porém, que vos tenho falado a vós, madrugando e falando, vós não me ouvistes."
comuns,1,com uns,5170,203,Atos,4,32,"E era um o coração e a alma da multidão dos que criam, e ninguém dizia que coisa alguma do que possuía era sua própria, mas todas as coisas lhes eram comuns."
estáter,1,está ter,1348,190,Mateus,17,27,"Mas, para que os não escandalizemos, vai ao mar, lança o anzol, tira o primeiro peixe que subir e, abrindo-lhe a boca, encontrarás um estáter; toma-o e dá-o por mim e por ti."
solvendo,1,sol vendo,185,240,Daniel,5,12,"Porquanto se achou neste Daniel um espírito excelente, e ciência, e entendimento, interpretando sonhos, e explicando enigmas, e solvendo dúvidas, ao qual o rei pôs o nome de Beltessazar; chame-se, pois, agora Daniel, e ele dará interpretação."
povoai,1,povo ai,1833,165,Gênesis,9,7,"Mas vós, frutificai e multiplicai-vos; povoai abundantemente a terra e multiplicai-vos nela."
Darcom,2,dar com,163,5170,Esdras,2,56,"os filhos de Jaala, os filhos de Darcom, os filhos de Gidel,"
dardos,2,dar dos,163,5149,2 Samuel,18,14,"Então, disse Joabe: Não me demorarei assim contigo aqui. E tomou três dardos e traspassou com eles o coração de Absalão, estando ele ainda vivo no meio do carvalho."
falada,1,fala da,163,7168,Hebreus,2,2,"Porque, se a palavra falada pelos anjos permaneceu firme, e toda transgressão e desobediência recebeu a justa retribuição,"
demandou,1,de mandou,24404,159,2 Reis,23,35,"E Jeoaquim deu aquela prata e aquele ouro a Faraó; porém fintou a terra, para dar esse dinheiro conforme o mandado de Faraó; a cada um, segundo a sua avaliação, demandou a prata e o ouro do povo da terra, para o dar a Faraó-Neco."
porvir,1,por vir,4118,159,Romanos,8,38,"Porque estou certo de que nem a morte, nem a vida, nem os anjos, nem os principados, nem as potestades, nem o presente, nem o porvir,"
sobrevir,1,sobre vir,2943,159,Marcos,10,32,"E iam no caminho, subindo para Jerusalém; e Jesus ia adiante deles. E eles maravilhavam-se e seguiam-no atemorizados. E, tornando a tomar consigo os doze, começou a dizer-lhes as coisas que lhe deviam sobrevir,"
Outrossim,2,outros sim,367,156,Mateus,5,33,"Outrossim, ouvistes que foi dito aos antigos: Não perjurarás, mas cumprirás teus juramentos ao Senhor."
solver,1,sol ver,185,145,Daniel,5,16,"Eu, porém, tenho ouvido dizer de ti que podes dar interpretações e solver dúvidas; agora, se puderes ler esta escritura e fazer-me saber a sua interpretação, serás vestido de púrpura, e terás cadeia de ouro ao pescoço, e no reino serás o terceiro dominador."
vertem,1,ver tem,145,638,Zacarias,4,12,"E, falando-lhe outra vez, disse: Que são aqueles dois raminhos de oliveira que estão junto aos dois tubos de ouro e que vertem de si ouro?"
sobrevinha,1,sobre vinha,2943,139,Atos,28,6,"E eles esperavam que viesse a inchar ou a cair morto de repente; mas tendo esperado já muito e vendo que nenhum incômodo lhe sobrevinha, mudando de parecer, diziam que era um deus."
vivestes,1,vi vestes,139,264,Tiago,5,5,"Deliciosamente, vivestes sobre a terra, e vos deleitastes, e cevastes o vosso coração, como num dia de matança."
quaisquer,1,quais quer,311,134,Apocalipse,22,19,"e, se alguém tirar quaisquer palavras do livro desta profecia, Deus tirará a sua parte da árvore da vida e da Cidade Santa, que estão escritas neste livro."
Queros,2,quer os,134,13856,Esdras,2,44,"os filhos de Queros, os filhos de Sia, os filhos de Padom,"
embeber,1,em beber,6227,127,Marcos,15,36,"E um deles correu a embeber uma esponja em vinagre e, pondo-a numa cana, deu-lho a beber, dizendo: Deixai, vejamos se virá Elias tirá-lo."
contradizer,2,contra dizer,1670,123,Lucas,21,15,"porque eu vos darei boca e sabedoria a que não poderão resistir, nem contradizer todos quantos se vos opuserem."
dizerem,2,dizer em,123,6227,Esdras,8,17,"E dei-lhes mandado para Ido, chefe no lugar de Casifia, e lhes pus palavras na boca para dizerem a Ido, seu irmão, e aos netineus, no lugar de Casifia, que nos trouxessem ministros para a Casa do nosso Deus."
maldizer,1,mal dizer,524,123,1 Timóteo,5,14,"Quero, pois, que as que são moças se casem, gerem filhos, governem a casa e não deem ocasião ao adversário de maldizer."
pelejarei,1,peleja rei,123,2503,Jeremias,21,5,"E eu pelejarei contra vós com mão estendida, e com braço forte, e com ira, e com indignação, e com grande furor."
tomadas,1,toma das,117,1631,Jeremias,48,41,"São tomadas as cidades e ocupadas as fortalezas; e será o coração dos valentes de Moabe, naquele dia, como o coração da mulher em suas dores."
temesse,1,tem esse,638,113,Malaquias,2,5,"Meu concerto com ele foi de vida e de paz, e eu lhas dei para que me temesse, e me temeu e assombrou-se por causa do meu nome."
umidade,2,um idade,3702,113,Jó,37,11,Também com a umidade carrega as grossas nuvens e esparge a nuvem da sua luz.
depuseram,2,de puseram,24404,109,Salmos,35,11,Falsas testemunhas se levantaram; depuseram contra mim coisas que eu não sabia.
houveras,1,houver as,109,5792,1 Coríntios,4,7,"Porque quem te diferença? E que tens tu que não tenhas recebido? E, se o recebeste, por que te glorias como se não o houveras recebido?"
alisei,1,ali sei,688,107,Deuteronômio,10,3,"Assim, fiz uma arca de madeira de cetim, e alisei duas tábuas de pedra, como as primeiras, e subi o monte com as duas tábuas na minha mão."
honrados,1,honra dos,107,5149,Números,22,15,"Porém Balaque prosseguiu ainda em enviar mais príncipes e mais honrados do que aqueles,"
honrarei,2,honra rei,107,2503,Números,22,17,"porque grandemente te honrarei e farei tudo o que me disseres; vem, pois, rogo-te, amaldiçoa-me este povo."
nascem,1,nas cem,818,103,1 Timóteo,6,4,"é soberbo e nada sabe, mas delira acerca de questões e contendas de palavras, das quais nascem invejas, porfias, blasfêmias, ruins suspeitas,"
composto,2,com posto,5170,101,Êxodo,30,25,"E disto farás o azeite da santa unção, o perfume composto segundo a obra do perfumista; este será o azeite da santa unção."
viramos,2,viram os,97,13856,Deuteronômio,2,8,"Passando, pois, por nossos irmãos, os filhos de Esaú, que habitavam em Seir, desde o caminho da planície de Elate e de Eziom-Geber, nos viramos e passamos o caminho do deserto de Moabe."
contradiziam,1,contra diziam,1670,94,Atos,13,45,"Então, os judeus, vendo a multidão, encheram-se de inveja e, blasfemando, contradiziam o que Paulo dizia."
sobrevirão,2,sobre virão,2943,90,Lucas,21,26,"homens desmaiando de terror, na expectação das coisas que sobrevirão ao mundo, porquanto os poderes do céu serão abalados."
comeria,1,comer ia,178,85,1 Reis,13,8,"Porém o homem de Deus disse ao rei: Ainda que me desses metade da tua casa, não iria contigo, nem comeria pão, nem beberia água neste lugar."
entraria,1,entrar ia,115,85,Deuteronômio,4,21,"Também o Senhor se indignou contra mim, por causa das vossas palavras, e jurou que eu não passaria o Jordão e que não entraria na boa terra que o Senhor, teu Deus, te dará por herança."
nomeia,1,nome ia,971,85,Efésios,1,21,"acima de todo principado, e poder, e potestade, e domínio, e de todo nome que se nomeia, não só neste século, mas também no vindouro."
passaria,1,passar ia,131,85,Deuteronômio,4,21,"Também o Senhor se indignou contra mim, por causa das vossas palavras, e jurou que eu não passaria o Jordão e que não entraria na boa terra que o Senhor, teu Deus, te dará por herança."
Saberia,2,saber ia,244,85,Jó,23,5,Saberia as palavras com que ele me responderia e entenderia o que me dissesse.
meterá,2,me terá,2111,84,Levítico,16,12,"Tomará também o incensário cheio de brasas de fogo do altar, de diante do Senhor, e os seus punhos cheios de incenso aromático moído e o meterá dentro do véu."
sobrevenha,1,sobre venha,2943,83,Salmos,109,17,"Visto que amou a maldição, ela lhe sobrevenha; e pois que não desejou a bênção, ela se afaste dele."
reinaria,1,reinar ia,82,85,1 Samuel,11,12,"Então, disse o povo a Samuel: Quem é aquele que dizia que Saul não reinaria sobre nós? Dai cá aqueles homens, e os mataremos."
assombra,1,as sombra,5792,81,1 Samuel,16,15,"Então, os criados de Saul lhe disseram: Eis que agora um espírito mau, da parte do Senhor, te assombra."
chegareis,1,chegar eis,78,1303,Josué,7,14,"Amanhã, pois, vos chegareis, segundo as vossas tribos; e será que a tribo que o Senhor tomar se chegará, segundo as famílias; e a família que o Senhor tomar se chegará por casas; e a casa que o Senhor tomar se chegará homem por homem."
chegaria,2,chegar ia,78,85,Jó,23,3,Ah! Se eu soubesse que o poderia achar! Então me chegaria ao seu tribunal.
chamareis,1,chama reis,75,333,Rute,1,21,"Cheia parti, porém vazia o Senhor me fez tornar; por que, pois, me chamareis Noemi? Pois o Senhor testifica contra mim, e o Todo-Poderoso me tem afligido tanto."
Estáquis,1,está quis,1348,75,Romanos,16,9,"Saudai a Urbano, nosso cooperador em Cristo, e a Estáquis, meu amado."
florestas,1,flor estas,75,410,Isaías,7,19,"e virão e pousarão todas nos vales desertos e nas fendas das rochas, e em todos os espinhos, e em todas as florestas."
quisesse,2,quis esse,75,113,Jó,6,9,"E que Deus quisesse quebrantar-me, e soltasse a sua mão, e acabasse comigo!"
sobrevier,1,sobre vier,2943,73,2 Crônicas,20,9,"Se algum mal nos sobrevier, espada, juízo, peste ou fome, nós nos apresentaremos diante desta casa e diante de ti; pois teu nome está nesta casa; e clamaremos a ti na nossa angústia, e tu nos ouvirás e livrarás."
vieras,1,vier as,73,5792,1 Samuel,25,34,"Porque, na verdade, vive o Senhor, Deus de Israel, que me impediu que te fizesse mal, que se tu não te apressaras e me não vieras ao encontro, não ficaria a Nabal, até à luz da manhã, nem mesmo um menino."
disseras,1,disser as,72,5792,1 Reis,8,24,"que cumpriste com teu servo Davi, meu pai, o que lhe disseras; porque, com a tua boca, o disseste e, com a tua mão, o cumpriste, como neste dia se vê."
maldisser,2,mal disser,524,72,Mateus,15,4,"Porque Deus ordenou, dizendo: Honra a teu pai e a tua mãe; e: Quem maldisser ao pai ou à mãe, que morra de morte."
tornaria,2,tornar ia,69,85,Jeremias,27,17,"Não lhes deis ouvidos, servi ao rei da Babilônia e vivereis. Por que se tornaria esta cidade um deserto?"
maldirás,1,mal dirás,524,67,Êxodo,22,28,Os juízes não amaldiçoarás e o príncipe dentre o teu povo não maldirás.
medirás,1,me dirás,2111,67,Ezequiel,45,3,E desta medida medirás um comprimento de vinte e cinco mil côvados e uma largura de dez mil; e ali estará o santuário e o lugar santíssimo.
deitais,2,dei tais,90,66,Isaías,57,4,"De quem fazeis o vosso passatempo? Contra quem escancarais a boca e deitais para fora a língua? Porventura, não sois filhos da transgressão, semente da falsidade,"
metais,2,me tais,2111,66,Josué,6,18,"Tão somente guardai-vos do anátema, para que não vos metais em anátema tomando dela, e assim façais maldito o arraial de Israel, e o turveis."
portais,1,por tais,4118,66,Neemias,6,1,"Sucedeu mais que, ouvindo Sambalate, Tobias, Gesém, o arábio, e o resto dos nossos inimigos que eu tinha edificado o muro e que nele já não havia brecha alguma, ainda que até este tempo não tinha posto as portas nos portais,"
soltais,2,sol tais,185,66,Lucas,19,31,"E, se alguém vos perguntar: Por que o soltais?, assim lhe direis: Porque o Senhor precisa dele."
edificarem,1,edificar em,65,6227,Zacarias,5,11,"E ele me disse: Para lhe edificarem uma casa na terra de Sinar, e, estando ela acabada, ele será posto ali em seu próprio lugar."
edificaria,1,edificar ia,65,85,1 Crônicas,17,10,desde os dias em que ordenei juízes sobre o meu povo de Israel; porém abati todos os teus inimigos; também te fiz saber que o Senhor te edificaria uma casa.
habitados,1,habita dos,65,5149,Zacarias,7,7,"Não ouvistes vós as palavras que o Senhor pregou pelo ministério dos profetas precedentes, quando Jerusalém estava habitada e quieta, com as suas cidades ao redor dela, e o Sul e a campina eram habitados?"
pecaria,1,pecar ia,64,85,Gênesis,39,9,"Ninguém há maior do que eu nesta casa, e nenhuma coisa me vedou, senão a ti, porquanto tu és sua mulher; como, pois, faria eu este tamanho mal e pecaria contra Deus?"
Sobeque,1,sobe que,64,21851,Neemias,10,24,"Haloés, Pileá, Sobeque,"
voltaria,2,voltar ia,64,85,Jó,34,15,"toda a carne juntamente expiraria, e o homem voltaria para o pó."
armasse,1,armas se,63,6927,Juízes,9,25,E os cidadãos de Siquém puseram contra ele quem lhe armasse emboscadas sobre os cumes dos montes; e a todo aquele que passava pelo caminho junto a eles o assaltavam; e contou-se a Abimeleque.
faltado,1,falta do,62,10449,Romanos,9,6,"Não que a palavra de Deus haja faltado, porque nem todos os que são de Israel são israelitas;"
faltarei,1,falta rei,62,2503,Salmos,89,33,"Mas não retirarei totalmente dele a minha benignidade, nem faltarei à minha fidelidade."
coroada,1,coroa da,61,7168,Isaías,23,8,"Quem formou este desígnio contra Tiro, a cidade coroada, cujos mercadores são príncipes e cujos negociantes são os mais nobres da terra?"
coroado,2,coroa do,61,10449,2 Timóteo,2,5,"E, se alguém também milita, não é coroado se não militar legitimamente."
coroados,1,coroa dos,61,5149,Naum,3,17,"Os teus coroados são como os gafanhotos, e os teus chefes, como os gafanhotos grandes, que se acampam nas sebes nos dias de frio; em subindo o sol, voam, e não se conhece o lugar onde estão."
tocarem,2,tocar em,61,6227,Números,10,3,"E, quando as tocarem ambas, então, toda a congregação se congregará a ti à porta da tenda da congregação."
tocaria,2,tocar ia,61,85,Juízes,20,34,"E dez mil homens escolhidos de todo o Israel vieram contra Gibeá, e a peleja se engravesceu; porém eles não sabiam que o mal lhes tocaria."
Tomaria,2,tomar ia,61,85,1 Samuel,25,11,"Tomaria eu, pois, o meu pão, e a minha água, e a carne das minhas reses que degolei para os meus tosquiadores e o daria a homens que eu não sei de onde vêm?"
beberiam,1,beber iam,127,59,Atos,23,12,"Quando já era dia, alguns dos judeus fizeram uma conspiração e juraram dizendo que não comeriam nem beberiam enquanto não matassem a Paulo."
comecem,1,come cem,59,103,Lucas,14,29,"Para que não aconteça que, depois de haver posto os alicerces e não a podendo acabar, todos os que a virem comecem a escarnecer dele,"
comeriam,1,comer iam,178,59,Atos,23,12,"Quando já era dia, alguns dos judeus fizeram uma conspiração e juraram dizendo que não comeriam nem beberiam enquanto não matassem a Paulo."
cometerá,1,come terá,59,84,Sofonias,3,13,"O remanescente de Israel não cometerá iniquidade, nem proferirá mentira, e na sua boca não se achará língua enganosa; porque serão apascentados, deitar-se-ão, e não haverá quem os espante."
cometi,2,come ti,59,1332,Provérbios,30,20,"Tal é o caminho da mulher adúltera: ela come, e limpa a sua boca, e diz: Não cometi maldade."
dariam,2,dar iam,163,59,Juízes,3,4,"Estes, pois, ficaram, para por eles o Senhor provar a Israel, para saber se dariam ouvidos aos seus mandamentos que tinha ordenado a seus pais pelo ministério de Moisés."
entrariam,2,entrar iam,115,59,Neemias,9,23,E multiplicaste os seus filhos como as estrelas do céu e trouxeste-os à terra de que tinhas dito a seus pais que entrariam nela para a possuírem.
luziam,1,luz iam,274,59,Ezequiel,1,7,"E os seus pés eram pés direitos; e as plantas dos seus pés, como a planta do pé de uma bezerra, e luziam como a cor de cobre polido."
morreriam,1,morrer iam,69,59,Números,26,65,"Porque o Senhor dissera deles que certamente morreriam no deserto; e nenhum deles ficou, senão Calebe, filho de Jefoné, e Josué, filho de Num."
veriam,1,ver iam,145,59,Atos,20,38,"entristecendo-se muito, principalmente pela palavra que dissera, que não veriam mais o seu rosto. E acompanharam-no até ao navio."
compõe,1,com põe,5170,58,Salmos,50,19,"Soltas a tua boca para o mal, e a tua língua compõe o engano."
decairão,1,de cairão,24404,58,Salmos,18,45,Os estranhos decairão e terão medo nas suas fortificações.
ficaria,2,ficar ia,58,85,1 Samuel,25,34,"Porque, na verdade, vive o Senhor, Deus de Israel, que me impediu que te fizesse mal, que se tu não te apressaras e me não vieras ao encontro, não ficaria a Nabal, até à luz da manhã, nem mesmo um menino."
passatempo,1,passa tempo,58,506,Isaías,57,4,"De quem fazeis o vosso passatempo? Contra quem escancarais a boca e deitais para fora a língua? Porventura, não sois filhos da transgressão, semente da falsidade,"
comprazer,2,com prazer,5170,57,Atos,24,27,"Mas, passados dois anos, Félix teve por sucessor a Pórcio Festo; e, querendo Félix comprazer aos judeus, deixou a Paulo preso."
menoridade,1,menor idade,57,113,Gênesis,43,33,"E assentaram-se diante dele, o primogênito segundo a sua primogenitura e o menor segundo a sua menoridade; do que os varões se maravilhavam entre si."
tiradas,1,tira das,57,1631,Juízes,17,2,"o qual disse à sua mãe: As mil e cem moedas de prata que te foram tiradas, por cuja causa deitavas maldições e também as disseste em meus ouvidos, eis que esse dinheiro eu o tenho, eu o tomei. Então, disse sua mãe: Bendito seja meu filho do Senhor."
ferrolho,2,ferro lho,99,56,Ezequiel,38,11,"E dirás: Subirei contra a terra das aldeias não muradas, virei contra os que estão em repouso, que habitam seguros; todos eles habitam sem muro e não têm ferrolho nem portas;"
esterque,1,ester que,55,21851,Lucas,13,8,"E, respondendo ele, disse-lhe: Senhor, deixa-a este ano, até que eu a escave e a esterque;"
levariam,1,levar iam,55,59,Eclesiastes,10,20,"Nem ainda no teu pensamento amaldiçoes o rei, nem tampouco no mais interior da tua recâmara amaldiçoes o rico; porque as aves dos céus levariam a voz e o que tem asas daria notícia da palavra."
luzirá,1,luz irá,274,55,Apocalipse,18,23,"e luz de candeia não mais luzirá em ti, e voz de esposo e de esposa não mais em ti se ouvirá; porque os teus mercadores eram os grandes da terra; porque todas as nações foram enganadas pelas tuas feitiçarias."
soldada,1,sol dada,185,55,Isaías,41,7,"E o artífice animou o ourives, e o que alisa com o martelo, ao que bate na safra, dizendo da coisa soldada: Boa é. Então, com pregos o firma, para que não venha a mover-se."
ferireis,2,ferir eis,54,1303,Números,25,17,"Afligireis os midianitas e os ferireis,"
ferirem,2,ferir em,54,6227,Êxodo,21,22,"Se alguns homens pelejarem, e ferirem uma mulher grávida, e forem causa de que aborte, porém se não houver morte, certamente aquele que feriu será multado conforme o que lhe impuser o marido da mulher e pagará diante dos juízes."
feririam,1,ferir iam,54,59,2 Crônicas,25,16,"E sucedeu que, falando-lhe ele, lhe respondeu: Puseram-te por conselheiro do rei? Cala-te, por que te feririam? Então, o profeta parou e disse: Bem vejo eu que já Deus deliberou destruir-te, porquanto fizeste isso e não deste ouvidos a meu conselho."
levantada,2,levanta da,53,7168,Números,15,30,"Mas a alma que fizer alguma coisa à mão levantada, quer seja dos naturais quer dos estrangeiros, injúria ao Senhor; e tal alma será extirpada do meio do seu povo,"
levantados,1,levanta dos,53,5149,Isaías,57,7,Sobre os montes altos e levantados pões a tua cama; e a eles sobes para oferecer sacrifícios.
Merede,2,me rede,2111,53,1 Crônicas,4,17,"E os filhos de Ezra: Jéter, e Merede, e Efer, e Jalom; e ela teve mais a Miriã, e Samai, e Isbá, pai de Estemoa."
Serede,2,se rede,6927,53,Gênesis,46,14,"E os filhos de Zebulom: Serede, e Elom, e Jaleel."
sobrevêm,1,sobre vêm,2943,53,Salmos,55,5,Temor e tremor me sobrevêm; e o horror me cobriu.
testemunharei,1,testemunha rei,53,2503,Jeremias,6,10,"A quem falarei e testemunharei, para que ouça? Eis que os seus ouvidos estão incircuncisos e não podem ouvir; eis que a palavra do Senhor é para eles coisa vergonhosa; não gostam dela."
acharia,1,achar ia,52,85,Marcos,11,13,"Vendo de longe uma figueira que tinha folhas, foi ver se nela acharia alguma coisa; e, chegando a ela, não achou senão folhas, porque não era tempo de figos."
achariam,2,achar iam,52,59,Juízes,5,30,"Porventura não achariam e repartiriam despojos? Uma ou duas moças a cada homem? Para Sísera despojos de várias cores, despojos de várias cores de bordados; de várias cores bordados de ambas as bandas, para os pescoços do despojo?"
desejais,2,de sejais,24404,52,Malaquias,3,1,"Eis que eu envio o meu anjo, que preparará o caminho diante de mim; e, de repente, virá ao seu templo o Senhor, a quem vós buscais, o anjo do concerto, a quem vós desejais; eis que vem, diz o Senhor dos Exércitos."
amadores,2,ama dores,83,51,Lamentações,1,2,"Continuamente chora de noite, e as suas lágrimas correm pelas suas faces; não tem quem a console entre todos os seus amadores; todos os seus amigos se houveram aleivosamente com ela, tornaram-se seus inimigos."
faladores,1,fala dores,163,51,Tito,1,10,"Porque há muitos desordenados, faladores, vãos e enganadores, principalmente os da circuncisão,"
